"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms"
"2025-11-13 12:33:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","25","True","100","Excelente","165.225.214.99","14","165.225.214.3","14","8.243.34.13","14","*","0","8.243.145.162","18","*","0","192.178.110.188","22","192.178.240.99","14","192.178.84.55","16","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 12:35:53","rafaelsantana-MacBook-Air","rafaelsantana","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","62","True","100","Excelente","10.50.112.1","3","*","0","201.61.35.194","4","*","0","*","0","*","0","108.170.231.64","8","172.253.53.125","5","142.251.252.159","5","172.217.172.142","4","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 12:36:00","rafaelsantana-MacBook-Air","rafaelsantana","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","20","True","100","Excelente","10.50.112.1","3","*","0","201.61.35.194","5","*","0","*","0","*","0","192.178.110.176","6","192.178.84.178","5","172.217.172.142","4","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 12:39:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","48","True","100","Excelente","165.225.214.99","14","165.225.214.3","13","8.243.34.13","19","*","0","8.243.145.162","16","*","0","192.178.110.200","15","192.178.240.101","17","216.239.56.209","14","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 12:42:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","31","True","100","Excelente","165.225.214.105","6","165.225.214.3","6","8.243.34.13","7","*","0","8.243.145.162","8","*","0","192.178.110.170","9","192.178.110.179","7","172.217.29.238","7","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 12:45:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","24","True","100","Excelente","165.225.214.99","16","165.225.214.3","17","8.243.34.13","18","*","0","8.243.145.162","18","*","0","192.178.110.176","20","192.178.240.99","22","172.217.29.78","24","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 12:48:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","24","True","100","Excelente","165.225.214.99","15","165.225.214.3","14","8.243.34.13","14","*","0","8.243.145.162","14","*","0","108.170.229.40","23","192.178.240.101","15","172.217.29.78","15","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 12:51:00","ARCO-C02FC050Q05G","guilherme.gomes","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","37","True","100","Excelente","165.225.214.99","14","165.225.214.3","13","8.243.34.13","14","*","0","8.243.145.162","15","*","0","192.178.110.176","24","192.178.240.101","15","172.217.29.78","15","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 12:52:35","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","143","True","72","Bom","10.50.112.1","34","*","0","201.61.35.194","22","*","0","74.125.52.64","5","209.85.143.231","6","142.250.238.249","121","172.217.30.142","5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 12:54:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","61","True","100","Excelente","165.225.214.99","15","165.225.214.3","14","8.243.34.13","25","*","0","8.243.145.162","17","*","0","192.178.110.176","24","142.251.255.6","17","172.217.29.78","15","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 12:57:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","23","True","100","Excelente","165.225.214.99","14","165.225.214.3","14","8.243.34.13","16","*","0","8.243.145.162","18","*","0","142.250.208.12","26","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:00:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","21","True","100","Excelente","165.225.214.99","15","165.225.214.3","14","8.243.34.13","16","*","0","8.243.145.162","16","*","0","209.85.245.66","24","209.85.253.0","16","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:02:21","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","62","True","100","Excelente","165.225.214.105","7","165.225.214.3","6","8.243.34.13","13","*","0","8.243.145.162","8","*","0","209.85.252.160","123","142.250.237.131","6","172.217.30.110","8","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:03:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","18","True","100","Excelente","165.225.214.105","6","165.225.214.3","7","8.243.34.13","6","*","0","8.243.145.162","7","*","0","192.178.110.242","10","216.239.56.208","7","172.217.30.110","7","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:06:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","63","True","100","Excelente","165.225.214.105","6","165.225.214.3","6","8.243.34.13","7","*","0","8.243.145.162","7","*","0","108.170.232.146","9","142.251.255.12","7","172.217.29.238","7","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:09:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","40","True","100","Excelente","165.225.214.99","14","165.225.214.3","13","8.243.34.13","15","*","0","8.243.145.162","17","*","0","142.250.208.12","24","192.178.240.101","16","192.178.84.179","16","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:10:26","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","51","True","100","Excelente","165.225.214.105","6","165.225.214.3","6","8.243.34.13","7","*","0","8.243.145.162","7","*","0","108.170.248.6","7","209.85.251.82","8","142.250.219.238","8","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:12:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","24","True","100","Excelente","165.225.214.99","22","165.225.214.3","14","8.243.34.13","15","*","0","8.243.145.162","19","*","0","142.250.208.12","18","192.178.240.101","16","172.217.29.78","16","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:07:03","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","76","True","100","Excelente","10.50.112.1","7","*","0","201.61.35.194","55","*","0","74.125.52.64","7","142.250.63.175","7","192.178.110.177","9","172.217.29.238","7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:18:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","22","True","100","Excelente","165.225.214.99","15","165.225.214.3","14","8.243.34.13","14","200.189.213.6","18","8.243.145.162","15","*","0","192.178.110.188","15","192.178.240.99","16","192.178.84.59","15","192.178.240.99","16","","","","","","","","","","","","","","","","","","","","","",""
