"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms"
"2025-11-12 00:00:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","17","True","100","Excelente","165.225.214.105","6","165.225.214.3","6","8.243.34.13","7","*","0","8.243.145.162","7","*","0","192.178.110.172","15","142.250.78.142","8","",""
"2025-11-12 00:03:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","24","True","100","Excelente","165.225.214.105","5","165.225.214.3","6","8.243.34.13","7","*","0","8.243.145.162","8","*","0","192.178.110.188","11","209.85.249.16","8","216.239.56.209","7"
"2025-11-12 00:06:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","27","True","100","Excelente","165.225.214.105","7","165.225.214.3","6","8.243.34.13","11","*","0","8.243.145.162","9","*","0","142.250.237.130","18","192.178.110.191","7","172.217.29.206","7"
