"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms"
"2025-11-11 00:00:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","87","True","100","Excelente","165.225.214.99","16","165.225.214.3","17","8.243.34.13","19","200.189.213.6","17","8.243.145.162","17","*","0","209.85.244.84","26","74.125.253.159","24","142.251.255.13","19","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-11 00:03:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","22","True","100","Excelente","165.225.214.99","14","165.225.214.3","15","8.243.34.13","14","200.189.212.154","20","8.243.145.162","15","*","0","108.170.229.40","27","74.125.253.159","16","209.85.249.17","15","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-11 00:06:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","38","True","100","Excelente","165.225.214.99","16","165.225.214.3","15","8.243.34.13","16","200.189.212.154","17","8.243.145.162","17","*","0","108.170.229.40","24","74.125.253.159","23","142.251.255.53","25","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-11 00:07:21","rafaelsantana-MacBook-Air","rafaelsantana","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","35","True","100","Excelente","10.50.112.1","2","*","0","201.61.35.194","4","*","0","*","0","*","0","192.178.240.98","4","192.178.84.54","5","172.217.172.142","4","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-11 00:09:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","26","True","100","Excelente","165.225.214.99","23","165.225.214.3","15","8.243.34.13","17","200.189.212.154","15","8.243.145.162","19","*","0","142.251.196.190","25","216.239.62.44","17","*","0","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-11 00:11:52","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","208","True","59","Aceitável","165.225.214.105","69","165.225.214.3","6","8.243.34.13","65","200.189.212.154","11","8.243.145.162","25","*","0","192.178.253.78","8","142.250.230.117","7","142.251.255.13","10","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-11 00:12:00","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","15","True","100","Excelente","165.225.214.105","6","165.225.214.3","7","8.243.34.13","13","200.189.212.154","7","8.243.145.162","6","*","0","192.178.110.200","9","142.250.237.131","7","172.217.30.110","7","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-11 00:12:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","75","True","100","Excelente","165.225.214.99","18","165.225.214.3","15","8.243.34.13","16","200.189.213.6","22","8.243.145.162","15","*","0","72.14.237.56","24","74.125.37.181","17","209.85.251.83","17","142.251.134.46","16","","","","","","","","","","","","","","","","","","","",""
"2025-11-11 00:15:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","21","True","100","Excelente","165.225.214.99","14","165.225.214.3","15","8.243.34.13","19","200.189.213.6","18","8.243.145.162","16","*","0","108.170.248.12","16","74.125.253.159","16","142.251.134.46","17","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-11 00:18:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","19","True","100","Excelente","165.225.214.99","15","165.225.214.3","15","8.243.34.13","17","200.189.212.154","15","8.243.145.162","16","*","0","142.251.79.106","26","74.125.37.181","16","142.251.134.46","16","","","","","","","","","","","","","","","","","","","","","",""
