"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms","Hop_22_IP","Hop_22_Latency_ms","Hop_23_IP","Hop_23_Latency_ms","Hop_24_IP","Hop_24_Latency_ms","Hop_25_IP","Hop_25_Latency_ms"
"2025-11-05 02:48:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","260","True","48","Ruim","10.50.112.1","15","*","0","201.61.35.194","10","*","0","74.125.52.64","17","209.85.143.231","13","142.250.230.117","17","172.217.30.110","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 02:51:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","75","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","12","*","0","74.125.52.64","16","142.250.63.175","16","209.85.249.37","16","142.250.219.238","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 02:54:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","100","True","100","Excelente","10.50.112.1","13","*","0","201.61.35.194","13","*","0","*","0","*","0","108.170.248.214","30","216.239.62.64","22","172.217.172.142","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 02:39:33","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","39","True","100","Excelente","10.0.0.1","4","192.168.0.1","5","10.39.124.1","11","201.6.72.97","14","201.6.64.212","12","201.6.65.228","13","*","0","*","0","192.178.110.182","15","142.251.79.107","18","209.85.251.83","15","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","","","",""
"2025-11-05 02:57:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","86","True","100","Excelente","10.50.112.1","11","*","0","201.61.35.194","148","*","0","*","0","*","0","192.178.110.202","352","192.178.84.178","6","172.217.172.142","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:00:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","37","True","100","Excelente","10.50.112.1","12","*","0","201.61.35.194","6","*","0","*","0","*","0","142.251.79.106","32","172.253.53.125","26","209.85.254.59","20","172.217.172.142","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:03:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","123","True","76","Bom","10.50.112.1","11","*","0","201.61.35.194","16","*","0","*","0","*","0","209.85.251.12","47","192.178.84.178","28","172.217.172.142","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:06:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","190","True","62","Aceitável","10.50.112.1","3","*","0","201.61.35.194","16","*","0","74.125.52.64","27","192.178.82.55","30","192.178.110.179","14","172.217.29.238","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:09:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","47","True","100","Excelente","10.50.112.1","9","*","0","201.61.35.194","15","*","0","74.125.52.64","5","142.250.63.175","6","192.178.110.179","6","172.217.29.238","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:12:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","71","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","13","*","0","74.125.52.64","16","192.178.82.55","13","192.178.110.179","17","172.217.29.238","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:15:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","264","True","48","Ruim","10.50.112.1","13","*","0","201.61.35.194","15","*","0","74.125.52.64","15","142.250.63.175","14","209.85.252.161","17","142.250.78.142","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:18:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","24","True","100","Excelente","10.50.112.1","3","*","0","201.61.35.194","13","*","0","74.125.52.64","18","192.178.82.55","24","209.85.251.13","11","142.250.78.142","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:21:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","58","True","100","Excelente","10.50.112.1","16","*","0","201.61.35.194","13","*","0","74.125.52.64","11","142.250.63.175","16","209.85.252.161","14","142.250.78.142","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:24:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","156","True","69","Aceitável","10.50.112.1","10","*","0","201.61.35.194","14","*","0","74.125.52.64","17","192.178.82.55","21","192.178.110.169","15","172.217.29.142","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:27:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","35","True","100","Excelente","10.50.112.1","10","*","0","201.61.35.194","16","*","0","74.125.52.64","11","142.250.63.175","18","192.178.110.169","9","172.217.29.142","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:30:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","78","True","100","Excelente","10.50.112.1","9","*","0","201.61.35.194","66","*","0","74.125.52.64","13","142.251.228.185","23","142.250.208.13","18","172.217.28.206","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
