"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms"
"2025-11-03 00:00:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","25","True","100","Excelente","165.225.214.99","20","165.225.214.3","17","8.243.34.13","23","200.189.212.154","22","8.243.145.162","20","*","0","108.170.235.138","26","192.178.84.54","20","142.251.255.13","18","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-03 00:09:01","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","65","True","100","Excelente","192.168.1.1","5","100.64.0.1","8","172.16.30.1","7","45.189.68.5","8","172.17.16.17","240152","172.17.1.74","62","*","0","*","0","192.178.110.242","14","142.250.230.117","7","172.217.30.110","12","","","","","","","","","","","","","","","","","",""
"2025-11-03 00:27:21","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","111","True","78","Bom","165.225.214.105","18","165.225.214.3","19","8.243.34.13","24","200.189.212.154","19","8.243.145.162","25","*","0","142.251.196.190","22","142.251.79.107","17","172.217.28.206","17","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-03 00:44:08","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","87","True","100","Excelente","165.225.214.105","26","165.225.214.3","17","8.243.34.13","20","200.189.212.154","20","8.243.145.162","20","*","0","142.251.196.188","27","216.239.56.208","20","142.251.255.7","20","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-03 00:45:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","16","True","100","Excelente","165.225.214.105","15","165.225.214.3","18","8.243.34.13","18","*","0","8.243.145.162","17","*","0","192.178.253.78","23","192.178.253.71","19","172.217.162.174","20","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-03 00:38:19","ARCO-C02FC050Q05G","guilherme.gomes","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","120","True","76","Bom","*","0","192.168.0.1","4","10.39.124.1","16","201.6.72.97","15","201.6.64.212","13","201.6.65.228","14","*","0","*","0","209.85.252.160","18","142.250.230.117","15","209.85.249.17","23","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0"
"2025-11-03 00:56:52","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","64","True","100","Excelente","10.0.0.1","4","192.168.0.1","4","10.39.124.1","12","201.6.72.97","13","8.243.145.162","18","*","0","108.170.248.4","18","142.250.237.131","16","142.251.255.7","16","","","","","","","","","","","","","","","","","","","","","",""
