"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms"
"2025-10-24 17:53:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","10.13.0.1","8","177.195.26.9","8","200.179.185.1","7","200.244.80.14","18","200.244.211.235","60","200.244.18.8","64","201.39.52.58","62","142.250.214.91","59","142.251.48.147","65","74.125.250.129","63"
"2025-10-24 17:53:05","ARCO-PE079VBG","andersongallina","Curitiba","PR","187.7.154.1","V tal","187.7.154.1","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)",,,"100.120.37.87","5","100.120.26.29","4","100.120.25.64","13",,,"192.178.84.13","12","209.85.244.85","12","74.125.250.129","13",,,,
"2025-10-24 18:00:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","10.13.0.1","7","177.195.26.9","24","200.179.185.1","8","200.244.80.14","19","200.244.211.235","61","200.244.18.8","63","201.39.52.58","60","142.250.214.91","59","142.251.48.147","66","74.125.250.129","63"
"2025-10-24 18:00:01","ARCO-PE079VBG","andersongallina","Curitiba","PR","187.7.154.1","V tal","187.7.154.1","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)",,,"100.120.37.87","4","100.120.26.29","4","100.120.25.64","12",,,"192.178.84.13","12","209.85.244.85","13","74.125.250.129","13",,,,
"2025-10-24 18:10:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","10.13.0.1","7","177.195.26.9","8","200.179.185.1","7","200.244.80.14","17","200.244.211.235","61","200.244.18.8","63","201.39.52.58","63","142.250.214.91","60","142.251.48.147","66","74.125.250.129","63"
"2025-10-24 18:10:01","ARCO-PE079VBG","andersongallina","Curitiba","PR","187.7.154.1","V tal","187.7.154.1","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)",,,"100.120.37.87","4","100.120.26.29","4","100.120.25.64","12",,,"192.178.84.13","12","209.85.244.85","12","74.125.250.129","13",,,,
"2025-10-24 18:20:01","ARCO-PE079VBG","andersongallina","Curitiba","PR","187.7.154.1","V tal","187.7.154.1","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)",,,"100.120.37.87","3","100.120.26.29","5","100.120.25.64","12",,,"192.178.84.13","12","209.85.244.85","12","74.125.250.129","13",,,,
"2025-10-24 18:20:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","10.13.0.1","8","177.195.26.9","9","200.179.185.1","7","200.244.80.14","18","200.244.211.235","60","200.244.18.8","64","201.39.52.58","62","142.250.214.91","60","142.251.48.147","65","74.125.250.129","63"
"2025-10-24 18:30:01","ARCO-PE079VBG","andersongallina","Curitiba","PR","187.7.154.1","V tal","187.7.154.1","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)",,,"100.120.37.87","4","100.120.26.29","4","100.120.25.64","12",,,"192.178.84.13","12","209.85.244.85","12","74.125.250.129","13",,,,
"2025-10-24 18:30:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","10.13.0.1","7","177.195.26.9","9","200.179.185.1","7","200.244.80.14","18","200.244.211.235","60","200.244.18.8","88","201.39.52.58","63","142.250.214.91","59","142.251.48.147","66","74.125.250.129","63"
"2025-10-24 18:40:01","ARCO-PE079VBG","andersongallina","Curitiba","PR","187.7.154.1","V tal","187.7.154.1","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)",,,"100.120.37.87","4","100.120.26.29","4","100.120.25.64","13",,,"192.178.84.13","12","209.85.244.85","13","74.125.250.129","13",,,,
"2025-10-24 18:40:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","10.13.0.1","7","177.195.26.9","9","200.179.185.1","8","200.244.80.14","18","200.244.211.235","75","200.244.18.8","63","201.39.52.58","63","142.250.214.91","61","142.251.48.147","67","74.125.250.129","63"
"2025-10-24 18:50:01","ARCO-PE079VBG","andersongallina","Curitiba","PR","187.7.154.1","V tal","187.7.154.1","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)",,,"100.120.37.87","5","100.120.26.29","4",,,,,"192.178.84.13","13","209.85.244.85","12","74.125.250.129","13",,,,
"2025-10-24 18:50:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","10.13.0.1","8","177.195.26.9","9","200.179.185.1","7","200.244.80.14","18","200.244.211.235","60","200.244.18.8","63","201.39.52.58","64","142.250.214.91","59","142.251.48.147","67","74.125.250.129","63"
"2025-10-24 19:00:01","ARCO-PE079VBG","andersongallina","Curitiba","PR","187.7.154.1","V tal","187.7.154.1","lens.meet.l.google.com",,"False","0","Falha Crítica (Serviço Inacessível)",,,"100.120.37.87","4","100.120.26.29","4","100.120.25.64","12",,,"192.178.84.13","12","209.85.244.85","13","74.125.250.129","23",,,,
