"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms"
"2025-11-13 03:02:22","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","22","True","100","Excelente","192.168.1.1","1","100.120.32.79","5","100.120.19.55","11","100.120.20.182","14","201.10.242.247","10","108.170.232.1","13"
"2025-11-13 03:02:22","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","8","True","100","Excelente",,,"100.120.32.79","4","100.120.19.55","10","100.120.20.182","12","201.10.242.247","11","108.170.232.1","13"
"2025-11-13 03:03:49","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","29","True","100","Excelente","165.225.214.98","10","8.243.34.13","11","8.243.145.162","11","142.250.232.127","11","209.85.244.85","10","142.250.219.206","10"
"2025-11-13 03:06:01","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","33","True","100","Excelente","192.168.1.1","1","100.120.32.79","23","100.120.19.55","10","100.120.20.182","11","201.10.242.247","14","108.170.232.1","13"
"2025-11-13 03:09:48","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","192.168.1.1","17","100.120.32.77","10","100.120.31.153","16","100.120.26.35","13","72.14.198.152","13","142.251.69.137","13"
"2025-11-13 03:12:21","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","5","True","100","Excelente","192.168.1.1","1","100.120.32.77","3","100.120.31.153","12","100.120.26.35","22","72.14.198.152","13","142.251.69.137","18"
"2025-11-13 03:21:48","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com",,"False","0","Falha Crítica (Serviço Inacessível)","192.168.1.1","4","100.120.32.77","4","100.120.31.153","11","100.120.26.35","11","72.14.198.152","13","142.251.69.137","12"
"2025-11-13 03:24:27","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","17","True","100","Excelente","192.168.1.1","1","100.120.32.77","5","100.120.31.153","10","100.120.26.35","14","72.14.198.152","13","142.251.69.137","12"
"2025-11-13 03:32:22","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","8","True","100","Excelente","192.168.1.1","1","100.120.32.79","4","100.120.19.55","20","100.120.20.182","10","201.10.242.247","10","108.170.232.1","12"
"2025-11-13 03:32:22","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","8","True","100","Excelente",,,"100.120.32.79","5","100.120.19.55","10","100.120.20.182","12","201.10.242.247","11","108.170.232.1","12"
"2025-11-13 03:42:21","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","159","True","68","Aceitável","192.168.1.1","1","100.120.32.77","4","100.120.31.153","11","100.120.26.35","16","72.14.198.152","12","142.251.69.137","13"
"2025-11-13 03:45:54","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","23","True","100","Excelente","192.168.1.1","1","100.120.32.77","4","100.120.31.153","16","100.120.26.35","13","72.14.198.152","13","142.251.69.137","13"
"2025-11-13 04:01:22","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","2045","True","0","Ruim","192.168.1.1","2","100.120.32.77","7","100.120.19.57","13","100.120.25.64","12","201.10.242.247","14","209.85.244.163","13"
"2025-11-13 04:01:45","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","21","True","100","Excelente","192.168.1.1","1",,,,,,,,,,
